,by,descendants,id,kids,score,time,title,type,url,text
0,mangoman,53.0,38925704,"[38926051, 38926628, 38926191, 38925779, 38926029, 38925967, 38926474, 38926170, 38926148, 38926218, 38926106, 38926151, 38926409, 38926071, 38926054, 38926013]",119,1704805548,GitHub Having Issues Today,story,https://www.githubstatus.com/incidents/pxg3dz4yg7lp,
1,todsacerdoti,204.0,38923741,"[38924172, 38926317, 38924283, 38924194, 38924826, 38925642, 38924104, 38924377, 38924596, 38924896, 38924941, 38924181, 38924218, 38925231, 38924917, 38925237, 38924173, 38926177, 38924247, 38924261, 38926198, 38924904, 38924286]",439,1704789358,Python 3.13 Gets a JIT,story,https://tonybaloney.github.io/posts/python-gets-a-jit.html,
2,ibobev,3.0,38925928,"[38926657, 38926420, 38926763, 38926413]",29,1704806960,Nebula is an open-source and free-to-use modern C++ game engine,story,https://github.com/gscept/nebula,
3,thunderbong,13.0,38925307,"[38925773, 38926244, 38926117, 38926097, 38925746, 38926033, 38926219]",67,1704802962,Turing Complete is a game about computer science,story,https://turingcomplete.game/,
4,jasonhansel,106.0,38921441,"[38922935, 38926458, 38922984, 38926422, 38923359, 38923668, 38926289, 38923132, 38924587, 38922093, 38921694, 38921745, 38923471, 38925601, 38926557, 38923626, 38921790, 38923540, 38924050, 38921982, 38921699, 38921816, 38922100, 38923733, 38923475, 38924543, 38921451, 38923561, 38921877, 38923714, 38922068, 38922085, 38922645, 38923795, 38921913, 38922019]",411,1704766995,Why does holding a key fob to your head increase its range?,story,https://physics.stackexchange.com/questions/101913/why-does-a-remote-car-key-work-when-held-to-your-head-body,
5,tosh,326.0,38920043,"[38920282, 38920383, 38920484, 38924407, 38920268, 38920285, 38922833, 38920360, 38921826, 38926635, 38920264, 38923009, 38921523, 38926256, 38920530, 38921102, 38923385, 38920733, 38924802, 38920645, 38923644, 38921810, 38922915, 38925282, 38922942, 38920444, 38925469, 38923697, 38920182, 38923294, 38921348, 38920440, 38920689, 38921502, 38923400, 38920353, 38920935, 38920227, 38925018, 38922975, 38922322, 38921404, 38923504, 38921576, 38920820, 38922968, 38920562, 38920785, 38921533, 38920761, 38921043, 38920498, 38922908, 38920181]",798,1704756774,Polars,story,https://pola.rs/,
6,luu,18.0,38924310,"[38925377, 38925113, 38925713, 38925672, 38924576, 38925415]",54,1704794825,Practising Programming,story,https://tratt.net/laurie/blog/2022/practising_programming.html,
7,edward,4.0,38911079,"[38926060, 38926488]",28,1704717331,A Guide for Prospective Tea Monks,story,https://peacefulrevolutionary.substack.com/p/a-guide-for-prospective-tea-monks,
8,skibz,2.0,38924263,"[38926552, 38926314]",35,1704794283,DreamShell: Operating System for the Sega Dreamcast,story,https://github.com/DC-SWAT/DreamShell,
9,l_nk,23.0,38924159,"[38926631, 38926751, 38926603, 38926633, 38926336, 38925716, 38926350, 38926076, 38925785, 38925771, 38925572, 38925729, 38926338]",52,1704793469,Using Git Offline,story,https://www.gibbard.me/using_git_offline/,
10,wolverine876,108.0,38922657,"[38926794, 38926773, 38923884, 38924662, 38925205, 38923853, 38924586, 38925683, 38925353, 38923717, 38923831, 38925618, 38923615, 38924808]",161,1704777760,DARPA Moves Forward on X-65: Plane with no moving control surfaces,story,https://www.darpa.mil/news-events/2024-01-03,
11,festinalente,,38925125,,1,1704801668,Finley (YC W21) Is Hiring for Business Operations and Strategy,job,https://jobs.lever.co/FinleyTechnologies/f3b6fed8-795f-433e-a3f8-7fdec5e85745,
12,adrian_mrd,75.0,38911407,"[38923017, 38923435, 38923725, 38925312, 38924411]",133,1704719440,Money pours into new fabs and facilities,story,https://semiengineering.com/money-pours-into-new-fabs-and-facilities/,
13,mikece,1.0,38926476,[38926755],14,1704810111,"Apple tells EU it has five different App Stores, not just one",story,https://9to5mac.com/2024/01/09/five-different-app-stores/,
14,mozvalentin,119.0,38924300,"[38925216, 38924701, 38926166, 38924720, 38924712, 38925990, 38925065, 38924374, 38924730, 38925628, 38925347, 38924569, 38925800, 38926128, 38924868, 38924895, 38926349, 38925206, 38925691, 38925247, 38926156, 38926175, 38926649, 38925790, 38924981]",254,1704794689,Google breaks search for Firefox users because of bad UA string sniffing,story,https://github.com/webcompat/web-bugs/issues/131916,
15,mmastrac,263.0,38920738,"[38922708, 38923112, 38922673, 38922304, 38923443, 38922259, 38925264, 38924844, 38922562, 38923756, 38924349, 38922634, 38924885, 38923675, 38922321, 38924696, 38922921, 38924790, 38922162, 38923251, 38921081, 38922038]",175,1704761219,Macs can now inform Apple if any liquids have been detected in the USB-C ports,story,https://9to5mac.com/2023/11/03/macs-liquids-detected-in-usb-c-ports/,
16,ecliptik,21.0,38921518,"[38922750, 38926015, 38923734, 38924684, 38922266, 38923458, 38922542, 38922374]",131,1704767497,Mode7 Graphics Library for Playdate,story,https://github.com/risolvipro/playdate-mode7,
17,alexzeitler,4.0,38924101,"[38926667, 38926485]",23,1704793024,Aldi: Culture and Operations of a Hard Discounter,story,https://inpractise.com/articles/aldi-culture-and-operations-of-a-hard-discounter,
18,jlpcsl,26.0,38925501,"[38926467, 38926072, 38926305, 38926368, 38925789]",39,1704804240,AMD Unveils AMD Radeon RX 7600 XT Graphics Card,story,https://www.amd.com/en/newsroom/press-releases/2024-1-8-amd-unveils-amd-radeon-rx-7600-xt-graphics-card--.html,
19,sam345,58.0,38925471,"[38926738, 38926045, 38925868, 38926593, 38926423, 38926282, 38926121, 38926061, 38926504, 38926341, 38925873, 38926052, 38926359, 38926496, 38926143, 38925472, 38926351, 38925867, 38925966]",47,1704804059,Startup Founders Fret over Getting Fired Like Sam Altman,story,https://www.wsj.com/business/entrepreneurship/startup-founders-fret-over-getting-fired-like-sam-altman-1c91917c,
20,xk4rim,37.0,38905590,"[38926758, 38921530, 38921719, 38921677, 38922724, 38921786, 38923552, 38921975, 38924658, 38922373, 38925234, 38921861, 38921567, 38924122, 38924856, 38923474, 38921631, 38922580, 38923511, 38922887, 38908253, 38922282, 38922932, 38921545, 38922482]",137,1704664761,Show HN: I made an interactive math crossword puzzle with infinite levels,story,https://scientific.place/math-crossword/,Hey there! I&#x27;m the brains behind the math crossword game on my site.<p>This game is all about making math a little more fun – users just drag and drop numbers to fill in the blanks and move on to the next level if they get it right.<p>Let me know if face any issues or have any suggestions! :)
21,luu,116.0,38916663,"[38920175, 38919072, 38922785, 38919341, 38920056, 38924637, 38918959, 38922561, 38920447, 38923070, 38920813, 38924111, 38924021, 38920427, 38920684, 38919045, 38918920, 38921440, 38920288, 38923020, 38920953, 38919860, 38923280, 38920389, 38918980, 38922600, 38920233]",243,1704741307,Golden Rules of Interface Design (2013),story,https://www.cs.umd.edu/~ben/goldenrules.html,
22,todsacerdoti,0.0,38925802,,3,1704806160,"AI Toolkit: Give a brain to your game's NPCs, a header-only C++ library",story,https://github.com/linkdd/aitoolkit,
23,colinprince,55.0,38921237,"[38926706, 38926417, 38925474, 38925167, 38924752, 38925062, 38924301, 38922767, 38925201, 38926147, 38922977, 38926676, 38925529, 38924559, 38925094, 38922871, 38923864, 38922729]",157,1704765350,I cut GTA Online loading times by 70% (2021),story,https://nee.lv/2021/02/28/How-I-cut-GTA-Online-loading-times-by-70/,
24,pmzy,79.0,38890692,"[38924059, 38923211, 38922626, 38922661, 38922801, 38923855, 38921820, 38922052, 38921764, 38923497, 38923698, 38926682, 38920920, 38922030, 38922341, 38922718, 38921676, 38921775, 38922444, 38922152, 38925342, 38923531, 38921892]",192,1704542127,The best way to get unstuck,story,https://ggnotes.com/the-best-way-to-get-unstuck,
25,davikr,0.0,38910462,,4,1704712099,Shader Printf in HLSL and DX12,story,https://therealmjp.github.io/posts/hlsl-printf/,
